NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR,JENJANG,Unnamed: 0,BENTUK PENDIDIKAN,WAKTU PENYELENGGARAAN,AKREDITASI_CLEAN,QUALITY_SCORE
SMA BAKTI NUSANTARA,20227829,SMA,-,Lebakwangi,Kec. Arjasari,Kab. Bandung,Prov. Jawa Barat,40379.0,-7.0466,107.6052,SWASTA,C,Ada,Ada,Pompa,Cukup,SMA,,,,C,50
SMA BANJAR ASRI CIMAUNG,20206170,SMA,Kp. Babakan,Cimaung,Kec. Cimaung,Kab. Bandung,Prov. Jawa Barat,40374.0,-7.0839,107.5639,SWASTA,A,Ada,Tidak ada,Ledeng/PAM,Tidak ada,SMA,,,,A,100
SMA BHAKTI MULYA BANJARAN,20227828,SMA,Ciherang,Tanjungsari,Kec. Cangkuang,Kab. Bandung,Prov. Jawa Barat,40377.0,-7.0432433,107.5614616,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,B,75
SMA BHAKTI PUTRA,20227913,SMA,KP.Cibodas,Cibodas,Kec. Solokanjeruk,Kab. Bandung,Prov. Jawa Barat,40382.0,-7.0126,107.7604,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,B,75
SMA BINA BANGSA SCHOOL,20270262,SPK SMA,desa mekarsaluyu,Mekarsaluyu,Kec. Cimenyan,Kab. Bandung,Prov. Jawa Barat,40191.0,-6.8697,107.6346,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,B,75
SMA BINA MUDA CICALENGKA,20206169,SMA,TENJOLAYA,Tenjolaya,Kec. Cicalengka,Kab. Bandung,Prov. Jawa Barat,40395.0,-6.9833,107.8375,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA BINA NEGARA 1 BALEENDAH,20227830,SMA,Bahuan,Andir,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375.0,-6.9838,107.6137,SWASTA,A,Ada,Ada,Pompa,Cukup,SMA,,,,A,100
SMA BPPI BALEENDAH,20227826,SMA,Baleendah,Baleendah,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375.0,-6.9989,107.6236,SWASTA,A,Ada,Ada,Pompa,Tidak ada,SMA,,,,A,100
SMA BUPPI MAJALAYA,20206155,SMA,-,Majakerta,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382.0,-7.052048,107.756281,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,B,75
SMA CENDIKIA INFORMATIKA,20227914,SMA,Karasak,Ciheulang,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381.0,-7.0223,107.687,SWASTA,B,Ada,Ada,Pompa,Cukup,SMA,,,,B,75
SMA DARMAYANTI CIMAUNG,20227833,SMA,Babakan Cianjur,Malasari,Kec. Cimaung,Kab. Bandung,Prov. Jawa Barat,40377.0,-7.0742,107.5484,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,B,75
SMA DARUL HIKMAH BOJONGSOANG,20228432,SMA,Kp. Cikoneng,Bojongsoang,Kec. Bojongsoang,Kab. Bandung,Prov. Jawa Barat,40288.0,-6.987801,107.646909,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,A,100
SMA FITHRAH INSANI BILINGUAL BOARDING ISLAMIC SCHOOL,70043911,SMA,jl cigondok rt 3 rw 2 desa pasirhuni kecamatan cimaung,Pasirhuni,Kec. Cimaung,Kab. Bandung,Prov. Jawa Barat,40374.0,-7.0916,107.5708,SWASTA,BELUM AKREDITASI,Ada,Ada,Sumur terlindungi,Cukup,SMA,,,,TT,20
SMA HANDAYANI 2 BANJARAN,20227837,SMA,Batukarut,Batukarut,Kec. Arjasari,Kab. Bandung,Prov. Jawa Barat,40379.0,-7.0424,107.5922,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMA HANDAYANI I ARJASARI,20251948,SMA,bojong sereh,Lebakwangi,Kec. Arjasari,Kab. Bandung,Prov. Jawa Barat,40376.0,-7.0323,107.5944,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMA,,,,A,100
SMA ISLAM AL-MUKLIS,20227916,SMA,-,Nagrak,Kec. Cangkuang,Kab. Bandung,Prov. Jawa Barat,40238.0,-7.0546416,107.548975,SWASTA,C,Ada,Ada,Sumur terlindungi,Kurang,SMA,,,,C,50
