NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
SMA FITHRAH INSANI BILINGUAL BOARDING ISLAMIC SCHOOL,70043911,Pasirhuni,Kec. Cimaung,Kab. Bandung,40374,-7.0916,107.5708,SWASTA,Belum/Tidak Terakreditasi
SMA HANDAYANI 2 BANJARAN,20227837,Batukarut,Kec. Arjasari,Kab. Bandung,40379,-7.0424,107.5922,SWASTA,A
SMA HANDAYANI I ARJASARI,20251948,Lebakwangi,Kec. Arjasari,Kab. Bandung,40376,-7.0323,107.5944,SWASTA,A
SMA ISLAM AL-MUKLIS,20227916,Nagrak,Kec. Cangkuang,Kab. Bandung,40238,-7.0546416,107.548975,SWASTA,C
SMA Islam Bakti Asih,70027168,Padasuka,Kec. Cimenyan,Kab. Bandung,40192,-6.8851,107.6618,SWASTA,Belum/Tidak Terakreditasi
SMA ISLAM TERPADU AL-GHOFAR,70040230,Cikadut,Kec. Cimenyan,Kab. Bandung,40193,-6.875,107.6843,SWASTA,Belum/Tidak Terakreditasi
SMA ISLAM TERPADU QORDOVA,70040505,Rancaekek Wetan,Kec. Rancaekek,Kab. Bandung,40394,-6.9715,107.7521,SWASTA,Belum/Tidak Terakreditasi
SMA IT DANUL FALAH,20228503,Margamekar,Kec. Pangalengan,Kab. Bandung,40378,-7.1887,107.5802,SWASTA,B
SMA IT DIPATIUKUR,20240399,Mekarsari,Kec. Ciparay,Kab. Bandung,40381,-7.0302,107.7394,SWASTA,A
SMA IT NURUL WASILAH,70040223,Waluya,Kec. Cicalengka,Kab. Bandung,40395,-6.9943,107.8424,SWASTA,Belum/Tidak Terakreditasi
SMA K 3 BINA BAKTI,60728545,Sayati,Kec. Margahayu,Kab. Bandung,40226,-6.9659483,107.5739417,SWASTA,A
SMA KARANG ARUM CILENGKRANG,20227852,Cilengkrang,Kec. Cilengkrang,Kab. Bandung,40616,-6.8975728,107.6989683,SWASTA,B
SMA KARYA BUDI CILEUNYI,20227853,Cimekar,Kec. Cileunyi,Kab. Bandung,40393,-6.937,107.7409,SWASTA,A
SMA KP 1 CIPARAY,20227848,Pakutandang,Kec. Ciparay,Kab. Bandung,40381,-7.0416,107.7119,SWASTA,A
SMA KP 1 PASEH,20227850,Ibun,Kec. Ibun,Kab. Bandung,40384,-7.0859,107.7617,SWASTA,A
SMA KP 2 CIPARAY,20227842,Mekarlaksana,Kec. Ciparay,Kab. Bandung,40381,-7.0693,107.6945,SWASTA,A
SMA KP 2 PASEH,20227843,Drawati,Kec. Paseh,Kab. Bandung,40383,-7.0567,107.7942,SWASTA,B
SMA KP 3 PASEH,20240400,Loa,Kec. Paseh,Kab. Bandung,40383,-7.0799,107.7932,SWASTA,B
SMA KP BALEENDAH,20228442,Baleendah,Kec. Baleendah,Kab. Bandung,40375,-7.002,107.6227,SWASTA,A
SMA KP BAROS ARJASARI,20227846,Baros,Kec. Arjasari,Kab. Bandung,40379,-7.0543,107.6161,SWASTA,B
SMA KP CICALENGKA,20227814,Nagrog,Kec. Cicalengka,Kab. Bandung,40395,-6.9982,107.8619,SWASTA,B
SMA KP CIWIDEY PASIRJAMBU,20227849,Pasirjambu,Kec. Pasirjambu,Kab. Bandung,40972,-7.095,107.4745,SWASTA,B
SMA KP MARGAHAYU,20227851,Margahayu Selatan,Kec. Margahayu,Kab. Bandung,40226,-6.9763,107.5668,SWASTA,A
SMA MAHAWARMAN,20227855,Cikancung,Kec. Cikancung,Kab. Bandung,40390,-7.012,107.8257,SWASTA,B
SMA MAJALAYA PUTRA,20227856,Majakerta,Kec. Majalaya,Kab. Bandung,40382,-7.05,107.7645,SWASTA,B
SMA MANGGALA,20256638,Maruyung,Kec. Pacet,Kab. Bandung,40385,-7.1039,107.703,SWASTA,B
SMA MARDIKA PASEH,20227857,Mekarpawitan,Kec. Paseh,Kab. Bandung,40383,-7.0494,107.7793,SWASTA,B
SMA MATHLAUL ANWAR MARGAHAYU,20251781,Margahayu Selatan,Kec. Margahayu,Kab. Bandung,40226,-6.9760833,107.567895,SWASTA,A
SMA MEKAR ARUM CILEUNYI,20227858,Cinunuk,Kec. Cileunyi,Kab. Bandung,40624,-6.936528,107.731219,SWASTA,A
SMA MUHAMMADIYAH 2 MAJALAYA,20227860,Majasetra,Kec. Majalaya,Kab. Bandung,40382,-7.0392,107.7548,SWASTA,A
SMA MUHAMMADIYAH 3 CIPARAY,20227861,Serangmekar,Kec. Ciparay,Kab. Bandung,40381,-7.0334,107.7052,SWASTA,B
SMA MUHAMMADIYAH 4 MARGAHAYU,20227862,Sayati,Kec. Margahayu,Kab. Bandung,40228,-6.9726883,107.573255,SWASTA,A
SMA MUHAMMADIYAH 5 RANCAEKEK,20227863,Rancaekek Wetan,Kec. Rancaekek,Kab. Bandung,40394,-6.9592,107.7615,SWASTA,A
SMA MUHAMMADIYAH 6 KERTASARI,20227864,Cibeureum,Kec. Kertasari,Kab. Bandung,40386,-7.1945,107.6749,SWASTA,B
SMA MUTIARA SANDI,20228467,Manggahang,Kec. Baleendah,Kab. Bandung,40375,-7.018487,107.654023,SWASTA,B
SMA NURUZAMAN CILENGKRANG,20228469,Cilengkrang,Kec. Cilengkrang,Kab. Bandung,40615,-6.8931,107.7235,SWASTA,A
SMA PASUNDAN BANJARAN,20251783,Banjaran,Kec. Banjaran,Kab. Bandung,40377,7.0245,107.5315,SWASTA,A
SMA PASUNDAN MAJALAYA,20256636,Sukamaju,Kec. Majalaya,Kab. Bandung,40382,-7.048,107.7528,SWASTA,A
SMA PASUNDAN RANCAEKEK,20227918,Rancaekek Kencana,Kec. Rancaekek,Kab. Bandung,40394,-6.9744,107.7568,SWASTA,A
SMA PELITA BUNGA BANGSA,20227874,Arjasari,Kec. Arjasari,Kab. Bandung,40379,-7.0557491,107.6462102,SWASTA,A
SMA PEMUDA BANJARAN,20227875,Kamasan,Kec. Banjaran,Kab. Bandung,40377,-7.048179,107.583314,SWASTA,B
SMA PERKAPEN SINUMBRA,20227876,Indragiri,Kec. Rancabali,Kab. Bandung,40973,-7.1502,107.3338,SWASTA,B
SMA PGRI 31 PANGALENGAN,20227871,Pangalengan,Kec. Pangalengan,Kab. Bandung,40378,-7.176,107.5709,SWASTA,A
SMA PGRI CICALENGKA,20251784,Cikuya,Kec. Cicalengka,Kab. Bandung,40395,-6.9818,107.8294,SWASTA,A
SMA PGRI RANCAEKEK,20206133,Bojongloa,Kec. Rancaekek,Kab. Bandung,40394,-6.9537,107.7659,SWASTA,B
SMA PLUS BABUSSALAM CIMENYAN,20227816,Ciburial,Kec. Cimenyan,Kab. Bandung,40069,-6.856939,107.644165,SWASTA,B
SMA PLUS ISLAM PACET,20227877,Maruyung,Kec. Pacet,Kab. Bandung,40385,-7.1501,107.3335,SWASTA,A
SMA PLUS MERDEKA SOREANG,20227878,Soreang,Kec. Soreang,Kab. Bandung,40911,-7.0339433,107.5402183,SWASTA,A
SMA PLUS TEBAR ILMU CIPARAY,20227921,Serangmekar,Kec. Ciparay,Kab. Bandung,40381,-7.0255,107.6919,SWASTA,A
SMA PUQ PAMEUNGPEUK,20227815,Sukasari,Kec. Pameungpeuk,Kab. Bandung,40376,-7.0186,107.5928,SWASTA,A
SMA PUTRA INDONESIA PASEH,20227879,Cipaku,Kec. Paseh,Kab. Bandung,40383,-7.049,107.7769,SWASTA,B
SMA SAPTA DHARMA,20206132,Pamekaran,Kec. Soreang,Kab. Bandung,40912,-7.0255833,107.5170467,SWASTA,A
SMA SOREANG PUTRA,20206142,Soreang,Kec. Soreang,Kab. Bandung,40912,-7.0247366,107.5211483,SWASTA,A
SMA SWADAYA KARYA CIWIDEY,20227881,Sukaresmi,Kec. Rancabali,Kab. Bandung,40973,-7.1933,107.3635,SWASTA,B
SMA TALENTA,20252198,Mekar Rahayu,Kec. Margaasih,Kab. Bandung,40218,-6.963448,107.558645,SWASTA,A
SMA TAMAN SISWA RANCAEKEK,20227920,Bojongloa,Kec. Rancaekek,Kab. Bandung,40394,-6.9716,107.7644,SWASTA,A
SMA TELKOM BANDUNG,20228479,Citeureup,Kec. Dayeuhkolot,Kab. Bandung,40257,-6.9734,107.6263,SWASTA,A
SMA TERPADU AL-MUMIN,20227912,Sukamantri,Kec. Paseh,Kab. Bandung,40383,-7.0516,107.7707,SWASTA,B
SMA TERPADU BAITURRAHMAN,20227827,Cikoneng,Kec. Ciparay,Kab. Bandung,40381,-7.0719,107.7027,SWASTA,A
SMA TERPADU BANDUNG IBUN,20227882,Cibeet,Kec. Ibun,Kab. Bandung,40384,-7.0848,107.7607,SWASTA,B
SMA TUNAS BARU CIPARAY,20227884,Gunungleutik,Kec. Ciparay,Kab. Bandung,40381,-7.035121,107.709045,SWASTA,B
SMA YADIKA CICALENGKA,20251788,Tenjolaya,Kec. Cicalengka,Kab. Bandung,40395,-6.9833,107.8409,SWASTA,A
SMA YADIKA SOREANG,69984529,Cingcin,Kec. Soreang,Kab. Bandung,40910,-7.0249,107.5365,SWASTA,A
SMA YAPI AL-HUSAENI,20227886,Ciheulang,Kec. Ciparay,Kab. Bandung,40381,-7.0261,107.6813,SWASTA,A
SMA YP BINA BANGSA,20227825,Sukasari,Kec. Pameungpeuk,Kab. Bandung,40376,-7.0185,107.5916,SWASTA,B
SMA YPPI BALEENDAH,20251790,Baleendah,Kec. Baleendah,Kab. Bandung,40375,-7.0105162,107.6289913,SWASTA,A
SMA YUMIK BANJARAN,20227887,Sindangpanon,Kec. Banjaran,Kab. Bandung,40377,-7.0498,107.5837,SWASTA,B
SMAS AL FIIL,20240394,Gajahmekar,Kec. Kutawaringin,Kab. Bandung,40951,-6.9711083,107.5322217,SWASTA,A
SMAS AL MADINA,20240396,Sukamanah,Kec. Paseh,Kab. Bandung,40383,-7.0417,107.7679,SWASTA,B
SMAS HARAPAN BANGSA BALEENDAH,20227839,Baleendah,Kec. Baleendah,Kab. Bandung,40375,-7.0080034,107.6213319,SWASTA,B
SMAS ISLAM TERPADU SASAMA,20273960,Pangguh,Kec. Ibun,Kab. Bandung,40384,-7.1015,107.7447,SWASTA,B
SMA NEGERI 1 GUNUNG HALU,20206212,Sirnajaya,Kec. Gununghalu,Kab. Bandung Barat,40565,-7.0163,107.3073,NEGERI,B
SMA NEGERI 1 LEMBANG,20206211,Kayuambon,Kec. Lembang,Kab. Bandung Barat,40391,-6.8198,107.6317,NEGERI,A
