Unnamed: 0,NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
,SMK PUTRA PANJALU,69965478,Panjalu,Kec. Panjalu,Kab. Ciamis,46264,-7.1436,108.2779,SWASTA,A
,SMKN 1 PURWAKARTA,20217367,Babakancikao,Kec. Babakancikao,Kab. Purwakarta,41151,-6.5147,107.4296,NEGERI,A
,SMK PGRI LEMBANG,20267648,Jayagiri,Kec. Lembang,Kab. Bandung Barat,40791,-6.8106,107.6208,SWASTA,B
,SMKS POLIMEDIK,20267942,Kalimulya,Kec. Cilodong,Kota Depok,16413,-6.4435,106.8134,SWASTA,B
,SMK PERTIWI KUNINGAN,20212908,KRAMATMULYA,Kec. Kramatmulya,Kab. Kuningan,45521,-6.9506,108.489,SWASTA,A
,SMKS BINA WARGA 1 BOGOR,20220287,Tanahbaru,Kec. Kota Bogor Utara,Kota Bogor,16154,-6.5537,106.8256,SWASTA,A
,SMKS TRI DHARMA 1 BOGOR,20220305,Kebonpedes,Kec. Tanah Sareal,Kota Bogor,16162,-6.5661,106.7987,SWASTA,B
,SMKS GARUDA NUSANTARA,20276431,Pasirsari,Kec. Cikarang Selatan,Kab. Bekasi,17550,-6.3006,107.1445,SWASTA,A
,SMKS PGRI TAMBUN SELATAN,20218350,Tambun,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2666,107.0667,SWASTA,B
,SMK BAKTI NUSA,70028590,Sukamantri,Kec. Tamansari,Kab. Bogor,16116,-6.6483,106.7732,SWASTA,A
,SMKN CAMPAKA,69849083,Cijunti,Kec. Campaka,Kab. Purwakarta,41181,-6.4357,107.5233,NEGERI,B
,SMK EKA NUSA PUTRA,70025861,Pangumbahan,Kec. Ciracap,Kab. Sukabumi,43176,-7.3292,106.432,SWASTA,B
,SMKS YKTB 2 BOGOR,20220293,Menteng,Kec. Kota Bogor Barat,Kota Bogor,16111,-6.5894,106.7858,SWASTA,B
,SMKN 1 BONGAS,20233759,Margamulya,Kec. Bongas,Kab. Indramayu,45255,-6.3811,108.0307,NEGERI,A
,SMKN 2 BANJAR,20229665,Purwaharja,Kec. Purwaharja,Kota Banjar,46331,-7.360291,108.529503,NEGERI,A
,SMKN 4 BOGOR,20258095,Muarasari,Kec. Kota Bogor Selatan,Kota Bogor,16137,-6.6410733,106.8248083,NEGERI,A
,SMKS YAPINAS,20271865,Sukasari,Kec. Cibuaya,Kab. Karawang,41356,-6.3022,107.2802,SWASTA,B
,SMKS AN-NUUR PASALEMAN,69766974,Pasaleman,Kec. Pasaleman,Kab. Cirebon,45187,-6.6173,108.451,SWASTA,B
,SMKS BHAKTI KENCANA PANGANDARAN,60728541,DESA BABAKAN,KEC. PANGANDARAN,Kab. Pangandaran,46396,-7.681,108.6622,SWASTA,A
,SMK AL-ISLAM PACET,20228512,Maruyung,Kec. Pacet,Kab. Bandung,40385,-7.1049,107.7051,SWASTA,B
,SMKS DINAMIKA ARJAWINANGUN,20254049,Jungjang,Kec. Arjawinangun,Kab. Cirebon,45162,-6.6513,108.4222,SWASTA,A
,SMKS YAPPA DEPOK,20229237,Abadijaya,Kec. Sukmajaya,Kota Depok,16417,-6.3940283,106.8454617,SWASTA,A
,SMKS AL MANSHURIYAH,20253990,Salawu,Kec. Salawu,Kab. Tasikmalaya,46471,-7.3796,108.0334,SWASTA,A
,SMKS PASUNDAN PADAHERANG,20272134,DESA KARANGMULYA,KEC. PADAHERANG,Kab. Pangandaran,46384,-7.5156,108.6706,SWASTA,A
,SMK NURUL HUDA AL GINA,69893499,DESA BATUMALANG,KEC. CIMERAK,Kab. Pangandaran,46395,-7.786383,108.431399,SWASTA,B
,SMKS CITRA TRI TUNGGAL GARMENT KASOMALANG,69725871,SINDANGSARI,Kec. Kasomalang,Kab. Subang,41281,-6.7001,107.7395,SWASTA,B
,SMKS GALUH RAHAYU SINDANGKASIH,20254622,Sukaraja,Kec. Sindangkasih,Kab. Ciamis,46268,-7.2833,108.2122,SWASTA,A
,SMKS AL MUNAWAROH SUKASARI,20217027,Sukareja,Kec. Sukasari,Kab. Subang,41254,-6.2898,107.7936,SWASTA,A
,SMKS TARUNA BANGSA,20223128,Perwira,Kec. Bekasi Utara,Kota Bekasi,17122,-6.2063,107.0149,SWASTA,A
,SMK YADIKA 9 BINTARA,69901596,Bintara Jaya,Kec. Bekasi Barat,Kota Bekasi,17136,-6.2326,106.9697,SWASTA,A
,SMKS BINA SISWA 2,20279922,Rancapanggung,Kec. Cililin,Kab. Bandung Barat,40562,-6.9772,107.4276,SWASTA,B
,SMKS FADRIS,20244750,Jatihurip,Kec. Cisayong,Kab. Tasikmalaya,46153,-7.2664,108.1852,SWASTA,A
,SMKS NUR SYAFIIL UMMAH,20229748,Tegalmunjul,Kec. Purwakarta,Kab. Purwakarta,41116,-6.5376,107.4559,SWASTA,B
,SMKS PGRI 2 PALIMANAN CIREBON,20214807,Palimanan Timur,Kec. Palimanan,Kab. Cirebon,45161,-6.7262,108.4263,SWASTA,B
,SMKS PERSADA,20279822,Cihideung Ilir,Kec. Ciampea,Kab. Bogor,16620,-6.5694,106.7216,SWASTA,B
,SMK PGRI KLARI,20271592,Duren,Kec. Klari,Kab. Karawang,41371,-6.368539,107.369188,SWASTA,B
,SMKS BABUS SALAM PANGURAGAN,69769403,Panguragan,Kec. Panguragan,Kab. Cirebon,45164,-6.6273,108.4605,SWASTA,C
,SMKS YPII CILILIN,20268303,Batulayang,Kec. Cililin,Kab. Bandung Barat,40562,-6.9861,107.4394,SWASTA,B
,SMK AL-UZLAH,69883635,Ciherang,Kec. Pacet,Kab. Cianjur,43253,-6.752646,107.05247,SWASTA,B
,SMKS BINA PATRIOT,20252197,Karangmukti,Kec. Karang Bahagia,Kab. Bekasi,17530,-6.2164,107.2213,SWASTA,B
,SMK ISLAM TERPADU MIFTAHUSSUNAN ADDAIMIAH,69949780,Purabaya,Kec. Leles,Kab. Cianjur,43782,-7.3415,107.0281,SWASTA,B
,SMKS ASH SHOHEH 1 CITEUREUP,20232424,Citeureup,Kec. Citeureup,Kab. Bogor,16810,-6.4895,106.8821,SWASTA,A
,SMKS BHAKTI BANGSA,20280608,Bekasi Jaya,Kec. Bekasi Timur,Kota Bekasi,17113,-6.2509,107.0067,SWASTA,B
,SMK NEGERI 1 CIPATAT,69888924,Sarimukti,Kec. Cipatat,Kab. Bandung Barat,40754,-6.8142,107.3432,NEGERI,A
,SMK NEGERI 15 GARUT,69977456,Mekarsari,Kec. Cibalong,Kab. Garut,44176,-7.654536,107.751491,NEGERI,B
,SMKS AL FATONAH,20252874,Ciharashas,Kec. Cilaku,Kab. Cianjur,43285,-6.8575,107.1623,SWASTA,B
,SMKS TUGAS PRAKARSA SILIWANGI KEDAWUNG,20214819,Kertawinangun,Kec. Kedawung,Kab. Cirebon,45153,-6.717924,108.5348943,SWASTA,B
,SMK ATMANEGARA,69978339,Karangrahayu,Kec. Karang Bahagia,Kab. Bekasi,-,-6.239728,107.192508,SWASTA,Belum/Tidak Terakreditasi
,SMK KARYA PENA BANGSA,69948075,Sukamulya,Kec. Warungkondang,Kab. Cianjur,43261,-6.8909,107.1091,SWASTA,C
,SMKS TARUNA ANDIGHA,20220301,Kebonkelapa,Kec. Kota Bogor Tengah,Kota Bogor,16125,-6.5947,106.7855,SWASTA,A
,SMKS PGRI 2 KARAWANG,20217797,Tanjungpura,Kec. Karawang Barat,Kab. Karawang,41316,-6.2916,107.2908,SWASTA,A
,SMKS TERPADU YAPISA,20254149,Sukaresmi,Kec. Megamendung,Kab. Bogor,16770,-6.6894,106.9021,SWASTA,B
,SMK CIPTA MANDIRI,69883428,Ciasihan,Kec. Pamijahan,Kab. Bogor,16630,-6.6811,106.6552,SWASTA,B
,SMK MADANI CIHAMPELAS,69958271,Tanjungwangi,Kec. Cihampelas,Kab. Bandung Barat,40767,-6.953297,107.482211,SWASTA,B
,SMK TUNGGAL PRAKARSA,70015921,Bantar Jati,Kec. Klapanunggal,Kab. Bogor,-,-6.4661,106.9095,SWASTA,B
,SMK PLUS MAARIF NU PARIGI,69899974,DESA CINTARATU,KEC. PARIGI,Kab. Pangandaran,46393,-7.6843,108.5083,SWASTA,B
,SMKS AL-IKHLAS,60729090,Caringin,Kec. Cisolok,Kab. Sukabumi,43366,-6.939391,106.412052,SWASTA,B
,SMK MANDIRI BERKAH,69888767,Cijeruk,Kec. Cijeruk,Kab. Bogor,16740,-6.7101,106.7945,SWASTA,B
,SMK SWASTA PUTRA NASIONAL CIBODAS,69816315,Cibodas,Kec. Lembang,Kab. Bandung Barat,40391,-6.8263,107.6746,SWASTA,B
,SMK GENIUS BANDUNG,20259598,Sangkanhurip,Kec. Katapang,Kab. Bandung,40971,-7.0052133,107.5680717,SWASTA,A
,SMK KP BAROS,20255776,Baros,Kec. Arjasari,Kab. Bandung,40379,-7.0527,107.6164,SWASTA,A
,SMKS ISLAM PENGUJI SUKABUMI,20221573,Sukakarya,Kec. Warudoyong,Kota Sukabumi,43135,-6.9174463,106.9075432,SWASTA,B
,SMKS PASUNDAN JATINANGOR,20254180,Cikeruh,Kec. Jatinangor,Kab. Sumedang,45363,-6.9425,107.7731,SWASTA,A
,SMKS INSAN MULIA,20276422,Jatikramat,Kec. Jatiasih,Kota Bekasi,17421,-6.2778,106.9526,SWASTA,B
,SMKS IT BINA INSAN,69759017,Mekarwangi,Kec. Cihurip,Kab. Garut,44173,-7.4969,107.845,SWASTA,B
,SMK NEGERI 1 CISARUA,69888925,Jambudipa,Kec. Cisarua,Kab. Bandung Barat,40551,-6.8107,107.5678,NEGERI,A
,SMKS BINA MASHLAHAT,69825148,Mandalamukti,Kec. Cikalongwetan,Kab. Bandung Barat,40556,-6.7449,107.4458,SWASTA,C
,SMKS BHAKTI PERTIWI INDONESIA,69772581,Bangbayang,Kec. Cicurug,Kab. Sukabumi,43359,-6.782778,106.774629,SWASTA,A
,SMKN JATILUHUR,69849084,Kembangkuning,Kec. Jatiluhur,Kab. Purwakarta,41152,-6.5479,107.4133,NEGERI,C
,SMKS ARTANITA,20224526,Argasari,Kec. Cihideung,Kota Tasikmalaya,46122,-7.3252,108.2084,SWASTA,B
,SMKS 4 LPPM RI,20267646,Padalarang,Kec. Padalarang,Kab. Bandung Barat,40553,-6.8534,107.4753,SWASTA,A
,SMKS AR RAHMAT,20263962,Weragati,Kec. Palasah,Kab. Majalengka,45475,-6.7724,108.3039,SWASTA,B
,SMK PGRI CIBARIBIS,20254193,Mekarjaya,Kec. Banjaran,Kab. Bandung,40377,-7.0868,107.5876,SWASTA,B
,SMK MATHLAUL ANWAR,20268801,Margahayu Selatan,Kec. Margahayu,Kab. Bandung,40226,-7.0031,107.5078,SWASTA,B
,SMK BINA LESTARI PUI,20253318,Nagarasari,Kec. Cipedes,Kota Tasikmalaya,46132,-7.3105,108.2161,SWASTA,B
,SMKS 2 TRIPLE J CITEUREUP,20232491,Karang Asem Barat,Kec. Citeureup,Kab. Bogor,16810,-6.4854,106.8667,SWASTA,A
,SMKS PGRI 1 PALIMANAN CIREBON,20214792,Palimanan Timur,Kec. Palimanan,Kab. Cirebon,45161,-6.7103,108.4326,SWASTA,A
,SMKS WIDYA UTAMA CIREBON,20222150,Kesambi,Kec. Kesambi,Kota Cirebon,45134,-6.7536,108.5426,SWASTA,B
,SMKS AL IKHLAS SUSURU PANAWANGAN,20254646,KERTAJAYA,Kec. Panawangan,Kab. Ciamis,46255,-7.5429,108.5331,SWASTA,B
,SMKN 2 SUBANG,20217028,Dangdeur,Kec. Subang,Kab. Subang,41212,-6.5476,107.7358,NEGERI,A
,SMK GIRI BHAKTI INDONESIA,69915321,Girimukti,Kec. Cisewu,Kab. Garut,44166,-7.3342,107.538,SWASTA,Belum/Tidak Terakreditasi
,SMK AL-FURQON,69909748,Cimulang,Kec. Ranca Bungur,Kab. Bogor,16310,-6.5346,106.7391,SWASTA,B
,SMKS AL MUKHLISIYAH,69725572,Kersamanah,Kec. Kersamanah,Kab. Garut,44185,-7.0496,108.0348,SWASTA,B
,SMKN 1 CARIU,20231419,Babakan Raden,Kec. Cariu,Kab. Bogor,16840,-6.4951,107.134,NEGERI,A
,SMK NIKO AL-FARISI,70045377,Sukarame,Kec. Sukarame,Kab. Tasikmalaya,46461,0.0008,0.0008,SWASTA,A
,SMK SALSABIILA ZAINIA,69858826,Jayapura,Kec. Cidaun,Kab. Cianjur,43275,-7.4884,107.279,SWASTA,B
,SMKS SUNAN GUNUNG JATI KARAWANG,20217767,Karawang Wetan,Kec. Karawang Timur,Kab. Karawang,41314,-6.3055,107.3103,SWASTA,B
,SMKS MUTIARA LIDO,69755750,Cibinong,Kec. Cibinong,Kab. Bogor,16740,-6.7504,106.799,SWASTA,B
,SMKS DARUL ULUM KERTASEMAYA,20268572,Lemahayu,Kec. Kertasemaya,Kab. Indramayu,45274,-6.524,108.3769,SWASTA,A
,SMK AN-NUR IBUN,20271836,Lampegan,Kec. Ibun,Kab. Bandung,40384,-7.0751,107.753,SWASTA,A
,SMKS KAMANDAKA,20238532,Tegalgundil,Kec. Kota Bogor Utara,Kota Bogor,16152,-6.582,106.8154,SWASTA,A
,SMKS TRI DHARMA 2 BOGOR,20220306,Kebonpedes,Kec. Tanah Sareal,Kota Bogor,16162,-6.5682,106.7997,SWASTA,A
,SMKS PROGRESIA CIANJUR,20252365,Sawah Gede,Kec. Cianjur,Kab. Cianjur,43212,-6.8281,107.126,SWASTA,A
,SMKS AVICENA,20231381,Tenjo,Kec. Tenjo,Kab. Bogor,16370,-6.3336,106.4442,SWASTA,A
,SMKS YPIB SUBANG,20246322,Sukamelang,Kec. Subang,Kab. Subang,41287,-6.5438,107.7662,SWASTA,B
,SMKS MUTHIA HARAPAN CICALENGKA,69725846,Babakanpeuteuy,Kec. Cicalengka,Kab. Bandung,40395,-6.9886,107.8529,SWASTA,A
,SMKS KIMIA PERMENTASI,20219170,Kebon Lega,Kec. Bojong Loa Kidul,Kota Bandung,40235,-6.9487,107.5892,SWASTA,A
,SMKS MUHAMMADIYAH HARUMANSARI,20267756,Harumansari,Kec. Kadungora,Kab. Garut,44153,-7.0706,107.9294,SWASTA,B
,SMK AL FATIH CIPONGKOR,69950746,Cijenuk,Kec. Cipongkor,Kab. Bandung Barat,40564,-6.9671,107.3784,SWASTA,B
,SMKS DARUL MAARIF PAMANUKAN SUBANG,20217031,Pamanukan,Kec. Pamanukan,Kab. Subang,41254,-6.2867,107.8101,SWASTA,B
,SMK NEGERI 2 CIMAHI,20238571,Citeureup,Kec. Cimahi Utara,Kota Cimahi,40512,-6.8516,107.5505,NEGERI,A
,SMKN MANIIS,69849086,Cijati,Kec. Maniis,Kab. Purwakarta,41166,-6.6831,107.3181,NEGERI,B
,SMK MAARIF BANDUNG,20219164,Lingkar Selatan,Kec. Lengkong,Kota Bandung,40263,-6.9258,107.6259,SWASTA,B
,SMK NEGERI 1 CILIMUS,20279827,Caracas,Kec. Cilimus,Kab. Kuningan,45556,-6.8621,108.5053,NEGERI,A
,SMK PLUS PERTIWI SUKAMULYA,20254699,Sukamulya,Kec. Cigugur,Kab. Kuningan,45552,-6.965,108.468,SWASTA,A
,SMK PGRI 2 CIMAHI,20224129,Citeureup,Kec. Cimahi Utara,Kota Cimahi,40512,-6.8689,107.5471,SWASTA,A
,SMKS PRATAMA MULYA KARAWANG,69774545,Kutapohaci,Kec. Ciampel,Kab. Karawang,41363,-6.3953,107.3623,SWASTA,B
,SMK NURUL YAQIN,69980601,Pamalayan,Kec. Cikelet,Kab. Garut,44175,-7.5401121,107.6932258,SWASTA,B
,SMK TERPADU AL HASAN,70031960,Kertasari,Kec. Ciamis,Kab. Ciamis,46213,-7.3239,108.3621,SWASTA,A
,SMKS KHAIRA UMMAH,20267761,Pabuaran Kidul,Kec. Pabuaran,Kab. Cirebon,45196,-6.9066,108.7285,SWASTA,A
,SMKS PUI GEGESIK,69725986,Gegesik Lor,Kec. Gegesik,Kab. Cirebon,45164,-6.5943,108.4313,SWASTA,B
,SMK TERPADU ASSAFIIYAH,69894044,Celak,Kec. Gununghalu,Kab. Bandung Barat,40565,-6.9959,107.3515,SWASTA,C
,"SMK CAKRA NUSANTARA, KOTA DEPOK",20271540,Limo,Kec. Limo,Kota Depok,16515,-6.3687,106.7852,SWASTA,A
,SMK IT HIDAYATUL FALAH,69896518,Karyasari,Kec. Leuwiliang,Kab. Bogor,16640,-6.625827,106.622975,SWASTA,C
,SMKS AL MUNAWAR KARAWANG,20237395,Mekarjaya,Kec. Purwasari,Kab. Karawang,41371,-6.3893,107.3989,SWASTA,B
,SMK NEGERI 12 KOTA BEKASI,69904742,Jatibening Baru,Kec. Pondokgede,Kota Bekasi,17412,-6.2733,106.9347,NEGERI,A
,SMK BAKTI KARYA PARIGI,69883502,DESA CINTAKARYA,KEC. PARIGI,Kab. Pangandaran,46393,-7.6486,108.4897,SWASTA,B
,SMK PLUS KARYA BHAKTI PERTIWI,69984299,Pasirdalem,Kec. Kadupandak,Kab. Cianjur,43268,-7.1484975,107.0389772,SWASTA,C
,SMK BINA KUNINGAN,20212952,Purwawinangun,Kec. Kuningan,Kab. Kuningan,45512,-6.9765,108.4788,SWASTA,A
,SMKS PANCA KARYA SENTUL,20279817,Karang Asem Barat,Kec. Citeureup,Kab. Bogor,16810,-6.4985,106.8695,SWASTA,A
,SMKS YISCA CILAMAYA,20237469,Tegalsari,Kec. Cilamaya Wetan,Kab. Karawang,41384,-6.2698,107.5674,SWASTA,B
,SMKS TAMANSISWA BANDUNG,20219210,MALABAR,Kec. Lengkong,Kota Bandung,40262,-6.9288,107.6206,SWASTA,A
,SMKS YASMI GEBANG,20254079,Melakasari,Kec. Gebang,Kab. Cirebon,45191,-6.8249,108.7655,SWASTA,A
,SMKS KESEHATAN ZAMZAM KURNIA,20258373,Karangsatria,Kec. Tambun Utara,Kab. Bekasi,17510,-6.2275,107.0441,SWASTA,A
,SMK AL FATH CIBEBER,69888493,Sukamanah,Kec. Cibeber,Kab. Cianjur,43262,-6.956807,107.158322,SWASTA,C
,SMKS NURUL HIDAYAH 2 BOGOR,20232472,Ciomas,Kec. Ciomas,Kab. Bogor,16610,-6.6473,106.7587,SWASTA,B
,SMKS ISLAM AL MUAMMILIN,20268573,Pringgacala,Kec. Karangampel,Kab. Indramayu,45283,-6.471,108.459,SWASTA,B
,SMKS SINAR PARAHYANGAN,69727436,Sindanglaya,Kec. Cipanas,Kab. Cianjur,43253,-7.2345,107.165,SWASTA,A
,SMKS VIJAYA KUSUMA,20219219,Kebon Kangkung,Kec. Kiaracondong,Kota Bandung,40284,-6.9425,107.6428,SWASTA,A
,SMK AL-BADAR,69857917,NAGROG,Kec. Wanayasa,Kab. Purwakarta,41174,-6.7092,107.5583,SWASTA,B
,SMKS PIONIR,20232483,Bojong Baru,Kec. Bojong Gede,Kab. Bogor,16320,-6.4792,106.8063,SWASTA,B
,SMK GENERASI CENDEKIA,69894431,Cibinong,Kec. Cibinong,Kab. Bogor,16911,-6.4795232,106.8540268,SWASTA,C
,SMKN 1 KLARI,60728564,Cimahi,Kec. Klari,Kab. Karawang,41371,-6.412155,107.377235,NEGERI,A
,SMK Al-Anwariyyah,69959887,Bonang,Kec. Panyingkiran,Kab. Majalengka,45459,-6.801183,108.159853,SWASTA,C
,SMK IT AL JUNAEDIYAH,69883649,Sukamanah,Kec. Cisaat,Kab. Sukabumi,43152,-6.907795,106.8944083,SWASTA,A
,SMKS BINA DHARMA,20279815,BABAKAN SARI,Kec. Kiaracondong,Kota Bandung,40283,-6.915,107.6561,SWASTA,A
,SMK PLUS RIYADHUL HUDA,69969939,Babakansari,Kec. Sukaluyu,Kab. Cianjur,43284,-6.8542382,107.1977989,SWASTA,B
,SMKN 1 CIKARANG BARAT,20218369,Gandasari,Kec. Cikarang Barat,Kab. Bekasi,17520,-6.2745,107.0896,NEGERI,A
,SMKS DAYA UTAMA KOTA BEKASI,20268735,Mustika Jaya,Kec. Mustika Jaya,Kota Bekasi,17158,-6.2961,107.0299,SWASTA,A
,SMKS GLOBAL JATITUJUH,20254319,Panongan,Kec. Jatitujuh,Kab. Majalengka,45458,-6.6523,108.2203,SWASTA,B
,SMK CIMENTENG,69875558,Cimenteng,Kec. Cijambe,Kab. Subang,41286,-6.632672,107.831423,SWASTA,B
,SMKS KESEHATAN TUNAS MADANI,69757213,Lembursitu,Kec. Lembur Situ,Kota Sukabumi,43169,-6.9635,106.8776,SWASTA,A
,SMKS ARROJA TASIKMALAYA,20210715,Cikukulu,Kec. Karangnunggal,Kab. Tasikmalaya,46186,-7.6084,108.1569,SWASTA,A
,SMKS TRI ASYIFA,20265294,Karangjaya,Kec. Tirtamulya,Kab. Karawang,41372,-6.3787,107.469,SWASTA,B
,SMKS MADYA DEPOK,20232543,Leuwinanggung,Kec. Tapos,Kota Depok,16456,-6.4091,106.9042,SWASTA,B
,SMKS HUTAMA BEKASI,20223118,Jatirahayu,Kec. Pondok Melati,Kota Bekasi,17414,-6.2865,106.914,SWASTA,A
,SMKN 1 BUAHDUA,20251887,Bojongloa,Kec. Buahdua,Kab. Sumedang,45392,-6.7198,107.949,NEGERI,B
,SMK TIRTA WALATRA,69901210,Peuteuycondong,Kec. Cibeber,Kab. Cianjur,43262,-6.9011,107.1241,SWASTA,C
,SMKS PLUS PONTREN YABAFA PAKENJENG,69753551,Neglasari,Kec. Pakenjeng,Kab. Garut,44164,-7.4919,107.672,SWASTA,B
,SMKS MUTIARA BANGSA,69759053,Ciseureuh,Kec. Purwakarta,Kab. Purwakarta,41118,-6.5252,107.4632,SWASTA,B
,SMKS ISLAM NURUL HUDA,69786517,Girijaya,Kec. Cidahu,Kab. Sukabumi,43358,-6.768464,106.73994,SWASTA,B
,SMKS YADIKA 11 JATIRANGGA,20253916,Jatirangga,Kec. Jati Sampurna,Kota Bekasi,17433,-6.3437,106.9398,SWASTA,A
,SMK PERINTIS,20271839,Bojongkunci,Kec. Pameungpeuk,Kab. Bandung,40376,-7.005,107.5715,SWASTA,A
,SMK AL-HUSNA,69896556,Pabuaran,Kec. Bojong Gede,Kab. Bogor,16320,-6.452,106.8019,SWASTA,C
,SMKN 1 PUSAKANAGARA,20233679,Pusakajaya,Kec. Pusakajaya,Kab. Subang,41255,-6.2862,107.8713,NEGERI,A
,SMK BENTENG PANCASILA,69947224,Babakanjaya,Kec. Gabuswetan,Kab. Indramayu,45262,-6.4607,108.0333,SWASTA,B
,SMKS KARYA BHAKTI,20219296,Palasari,Kec. Cibiru,Kota Bandung,40615,-6.9215,107.7163,SWASTA,C
,SMKS WIRADIKARYA,20253598,Karihkil,Kec. Ciseeng,Kab. Bogor,16120,-6.5011,106.6818,SWASTA,B
,SMKS TEKNOMEDIKA PLUS,10648865,Karadenan,Kec. Cibinong,Kab. Bogor,16913,-6.5247858,106.8073584,SWASTA,B
,SMKS AN-NIDA,69775761,Padamukti,Kec. Pasirwangi,Kab. Garut,44161,-7.239,107.8266,SWASTA,C
,SMKS AL MADANI JAMPANGKULON,20254195,Jampang Kulon,Kec. Jampang Kulon,Kab. Sukabumi,43178,-7.259,106.6276,SWASTA,A
,SMKS AS SYAFIIYAH,20271320,Pakemitan,Kec. Cikatomas,Kab. Tasikmalaya,46193,-7.624,108.2582,SWASTA,B
,SMK MANANGGA PRATAMA TASIKMALAYA,20224520,Cipedes,Kec. Cipedes,Kota Tasikmalaya,46133,-7.3164,108.2144,SWASTA,A
,SMKS PGRI PALABUHANRATU SUKABUMI,20202272,PALABUHANRATU,Kec. Pelabuhan Ratu,Kab. Sukabumi,43364,-6.9842,106.5526,SWASTA,B
,SMKS CENDEKIA,60728500,Harjamukti,Kec. Harjamukti,Kota Cirebon,45143,-6.7499,108.5297,SWASTA,B
,SMK MA ARIF NU AL MUSHLIHUUN,69954591,Cintanagara,Kec. Jatinagara,Kab. Ciamis,46273,-7.1967,108.4103,SWASTA,B
,SMKS ENDANG DARMA AYU INDRAMAYU,20216010,Karanganyar,Kec. Indramayu,Kab. Indramayu,45213,-6.343,108.3359,SWASTA,A
,SMKS Taruna Madya Cempaka Mulya,69952316,Campakamulya,Kec. Cimaung,Kab. Bandung,40377,-7.098146,107.588307,SWASTA,C
,SMK ISAS LEUWIMUNDING,69938154,Ciparay,Kec. Leuwimunding,Kab. Majalengka,45473,-6.7365,108.3382,SWASTA,C
,SMK BINA UMAT MAJALAYA,20270339,Padaulun,Kec. Majalaya,Kab. Bandung,40382,-7.0576,107.7306,SWASTA,C
,"SMKS PGRI 3 BOGOR, KOTA BOGOR",20238536,Kedunghalang,Kec. Kota Bogor Utara,Kota Bogor,16158,-6.5524,106.8155,SWASTA,A
,SMKS MAARIF NU CIHAURBEUTI,20272055,Sukahaji,Kec. Cihaurbeuti,Kab. Ciamis,46262,-7.2639,108.1982,SWASTA,B
,SMKS DARMA BAKTI,20276164,Cipeucang,Kec. Cileungsi,Kab. Bogor,16820,-6.4249,107.0386,SWASTA,A
,SMKS MUHAMADIYAH 2 SUMEDANG,20208398,Kotakaler,Kec. Sumedang Utara,Kab. Sumedang,45322,-6.8349,107.9286,SWASTA,B
,SMKS ARDSENTRA,69755712,Ragajaya,Kec. Bojong Gede,Kab. Bogor,16320,-6.4468,106.7866,SWASTA,B
,SMKN 1 CIKARANG UTARA,20247250,Karangraharja,Kec. Cikarang Utara,Kab. Bekasi,17530,-6.2503,107.1763,NEGERI,A
,SMKS BINA SISWA UTAMA 1 BEKASI,20223124,Kota Baru,Kec. Bekasi Barat,Kota Bekasi,17139,-6.2129,106.9699,SWASTA,A
,SMK KARYA NASIONAL KADIPATEN,69978566,Karangsambung,Kec. Kadipaten,Kab. Majalengka,45452,-6.7537,108.1655,SWASTA,C
,SMKS ATTAQWA CABANGBUNGIN,20252195,Lenggahsari,Kec. Cabangbungin,Kab. Bekasi,17720,-6.0589,107.1081,SWASTA,B
,SMKS IT CITRA BANGSA,69733777,Setia Asih,Kec. Taruma Jaya,Kab. Bekasi,17125,-6.1711,107.0036,SWASTA,B
,SMKS AL IHSAN BATUJAJAR,20268293,Galanggang,Kec. Batujajar,Kab. Bandung Barat,40561,-6.9174,107.4868,SWASTA,B
,SMKS INDUSTRI MANDIRI KARAWANG,20252393,Duren,Kec. Klari,Kab. Karawang,41371,-6.368938,107.375768,SWASTA,B
,SMKS IBNU SINA KARAWANG,20237401,Karangpawitan,Kec. Karawang Barat,Kab. Karawang,41315,-6.2725,107.3128,SWASTA,B
,SMKS DARUL FIKRI CIPONGKOR,20229824,Mekarsari,Kec. Cipongkor,Kab. Bandung Barat,40564,-6.9525,107.3647,SWASTA,B
,SMK IPTEK AL-IKHWAN,69857935,Ciwulan,Kec. Telagasari,Kab. Karawang,41381,-6.2567,107.438,SWASTA,B
,SMKS CIJANGKAR,20210713,Pasirhuni,Kec. Ciawi,Kab. Tasikmalaya,46156,-7.1424,108.1438,SWASTA,A
,SMKN 1 RANCABALI,69883580,Panundaan,Kec. Ciwidey,Kab. Bandung,40973,-7.117,107.4425,NEGERI,B
,SMKS BPS & K II BEKASI,20231735,Kayuringin Jaya,Kec. Bekasi Selatan,Kota Bekasi,17144,-6.2468,106.9891,SWASTA,C
,SMKS ISLAM AN NUUR,20238038,Taman Sari,Kec. Setu,Kab. Bekasi,17320,-6.3657,107.0243,SWASTA,B
,SMK MA ARIF NU AL MUZAYYIN,69952943,Rajadesa,Kec. Rajadesa,Kab. Ciamis,46254,-7.167287,108.436967,SWASTA,C
,SMKN 1 CIKAUM,69757493,Cikaum Timur,Kec. Cikaum,Kab. Subang,41261,-6.4242,107.7444,NEGERI,A
