Unnamed: 0,NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
,SMK ISLAM TERPADU MUHAJIRIN KARANGPAWITAN,69758142,Tanjungsari,Kec. Karangpawitan,Kab. Garut,44182,-7.2234,107.9322,SWASTA,A
,SMKS ULUMUDDIN SUSUKAN,20257548,Susukan,Kec. Susukan,Kab. Cirebon,45166,-6.6279,108.3761,SWASTA,A
,SMKS PURAGABAYA,20265539,Sukabungah,Kec. Sukajadi,Kota Bandung,40162,-6.899,107.5966,SWASTA,B
,SMK TARUNA BHAKTI KADUGEDE,20212922,Kadugede,Kec. Kadugede,Kab. Kuningan,45561,-7.0037,108.4557,SWASTA,B
,SMK BANGUN PERSADA,69873995,Jatimekar,Kec. Jatiasih,Kota Bekasi,17422,-6.3245,106.9489,SWASTA,B
,SMKS MANDIRI CIREBON,20214801,Kedungjaya,Kec. Kedawung,Kab. Cirebon,45153,-6.7208,108.5346,SWASTA,A
,SMKS JAYABEKA 03,69774547,Jatibaru,Kec. Jatisari,Kab. Karawang,41374,-6.3446,107.545,SWASTA,B
,SMK FAJAR,69860537,Babakan,Kec. Ciseeng,Kab. Bogor,16120,-6.4623,106.6988,SWASTA,B
,SMK NU LEMAH AYU,69889032,Lemahayu,Kec. Kertasemaya,Kab. Indramayu,45274,-6.534412,108.378751,SWASTA,B
,SMKS ANALIS KIMIA NUSA BANGSA BOGOR,20220339,Cibadak,Kec. Tanah Sareal,Kota Bogor,16161,-6.5535,106.7747,SWASTA,A
,SMK GOLDEN,69967704,Pasir Gaok,Kec. Ranca Bungur,Kab. Bogor,16310,-6.5378,106.7261,SWASTA,A
,SMK DARMA SAKTI,69881046,Rajamandala Kulon,Kec. Cipatat,Kab. Bandung Barat,40574,-6.8333,107.3506,SWASTA,B
,SMKS NU KARANGANYAR,20269454,Karanganyar,Kec. Pasekan,Kab. Indramayu,45213,-6.2683,108.2553,SWASTA,B
,SMKS MADANI,69755462,Cinangka,Kec. Ciampea,Kab. Bogor,16620,-6.5853,106.7054,SWASTA,B
,SMK BAKTI PUTRA MANDIRI,69861090,Parung Panjang,Kec. Parungpanjang,Kab. Bogor,16360,-6.3439,106.5685,SWASTA,B
,SMK GALIH PUTERA INDONESIA,69915320,PANGGALIH,Kec. Cisewu,Kab. Garut,44166,-7.3988,107.5164,SWASTA,Belum/Tidak Terakreditasi
,SMKS UTAMA PURWAKARTA,20217356,Sukatani,Kec. Sukatani,Kab. Purwakarta,41167,-6.6088,107.4101,SWASTA,C
,SMKS PELITA BANDUNG,20219157,Sukapada,Kec. Cibeunying Kidul,Kota Bandung,40125,-6.8969,107.6447,SWASTA,A
,SMKS TARUNA KARYA MANDIRI,69934151,Purwajaya,Kec. Tempuran,Kab. Karawang,41385,-6.1942,107.4581,SWASTA,A
,SMK ISLAM TERPADU AR-RISALAH CARIU,70001547,Tegal Panjang,Kec. Cariu,Kab. Bogor,16840,-6.4909,107.1137,SWASTA,A
,SMK BINA INSANI JAMANIS,69893351,Karangresik,Kec. Jamanis,Kab. Tasikmalaya,46175,-7.214089,108.158044,SWASTA,B
